locus_tag	gene_name	accession	old_locus_tag	start	end	strand	gene_product	COG	uniprot	operon
WA5_RS03200	WA5_RS03200	NC_020519.1	WA5_0612	654676	655125	+	PH domain-containing protein	S	A0A0U4XND3	Op378
WA5_RS03205	WA5_RS03205	NC_020519.1	WA5_0613	655122	656537	+	PH domain-containing protein	S	Q8NSM8	Op378
WA5_RS03210	WA5_RS03210	NC_020519.1	WA5_0614	656547	657218	+	metal-dependent transcriptional regulator	K	R0JD13	Op378
WA5_RS03215	WA5_RS03215	NC_020519.1	WA5_0615	657202	657978	-	metal-dependent hydrolase	S		Op379
WA5_RS03220	WA5_RS03220	NC_020519.1	WA5_0616	658155	658931	+	NAD-dependent deacylase	K	R0I0I9	Op380
WA5_RS03225	WA5_RS03225	NC_020519.1	WA5_0617	658933	659427	+	nucleoside deaminase	F	Q8NSM3	Op380
WA5_RS03230	WA5_RS03230	NC_020519.1	WA5_0618	659543	660541	+	iron-siderophore ABC transporter substrate-binding protein	P	Q8NSM2	Op381
WA5_RS03235	WA5_RS03235	NC_020519.1	WA5_0619	660647	661120	-	tRNA (cytidine(34)-2'-O)-methyltransferase	J	R0JD16	Op382
WA5_RS03240	WA5_RS03240	NC_020519.1	WA5_0620	661166	662020	+	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	F	R0JNY2	Op383
WA5_RS03245	WA5_RS03245	NC_020519.1	WA5_0621	662027	662377	+	DUF3017 domain-containing protein	S	A0A1B4WIV3	Op383
WA5_RS03250	WA5_RS03250	NC_020519.1	WA5_0622	662379	663761	-	flotillin family protein	S	A0A516RWE9	Op384
WA5_RS03255	WA5_RS03255	NC_020519.1	WA5_0623	664123	664947	-	DUF3500 domain-containing protein	S		Op385
WA5_RS03260	WA5_RS03260	NC_020519.1	WA5_0624	665180	666313	-	homoserine O-acetyltransferase	E	O68640	Op386
WA5_RS03265	WA5_RS03265	NC_020519.1	WA5_0625	666457	667770	-	O-acetylhomoserine/O-acetylserine sulfhydrylase	E	R0I0J6	Op386
WA5_RS03270	WA5_RS03270	NC_020519.1	WA5_0626	668189	670468	+	carbon starvation protein A	T	A0A1B4WIU7	Op387
WA5_RS03275	WA5_RS03275	NC_020519.1		670472	670675	+	YbdD/YjiX family protein	S	R0JD29	Op387
WA5_RS03280	WA5_RS03280	NC_020519.1		671141	672655	+	MmgE/PrpD family protein	S		Op388
WA5_RS03285	prpB	NC_020519.1	WA5_0629	672655	673578	+	methylisocitrate lyase	G	Q8NSL2	Op388
WA5_RS03290	WA5_RS03290	NC_020519.1	WA5_0630	673607	674758	+	bifunctional 2-methylcitrate synthase/citrate synthase	C	Q8NSL1	Op388
WA5_RS15620	WA5_RS15620	NC_020519.1		674795	675034	-	antibiotic biosynthesis monooxygenase	S		Op389
WA5_RS03295	WA5_RS03295	NC_020519.1	WA5_0631	675078	676121	-	Ldh family oxidoreductase	C	Q8NSK9	Op389
WA5_RS03300	WA5_RS03300	NC_020519.1	WA5_0632	676214	676936	-	GntR family transcriptional regulator	K	A0A6M4PVB3	Op390
WA5_RS03305	WA5_RS03305	NC_020519.1	WA5_0633	677043	677747	-	hypothetical protein	-	Q8NSK7	Op391
WA5_RS03310	WA5_RS03310	NC_020519.1	WA5_0634	677827	680043	-	NADP-dependent isocitrate dehydrogenase	C	P50216	Op392
WA5_RS03315	WA5_RS03315	NC_020519.1	WA5_0635	680127	681026	-	siderophore-interacting protein	P	Q8NSK6	Op393
WA5_RS03320	WA5_RS03320	NC_020519.1	WA5_0636	681036	681845	-	ABC transporter ATP-binding protein	H	Q8NSK5	Op393
WA5_RS03325	WA5_RS03325	NC_020519.1	WA5_0637	681842	682870	-	iron chelate uptake ABC transporter family permease subunit	P		Op393
WA5_RS03330	WA5_RS03330	NC_020519.1	WA5_0638	682867	683862	-	iron ABC transporter permease	P	A0A0U4XDG9	Op393
WA5_RS03335	WA5_RS03335	NC_020519.1	WA5_0639	683872	684924	-	iron-siderophore ABC transporter substrate-binding protein	P	Q8NSK2	Op393
WA5_RS03340	WA5_RS03340	NC_020519.1	WA5_0640	685108	686382	+	MFS transporter	E	A0A0S2T2R2	Op394
WA5_RS03345	WA5_RS03345	NC_020519.1	WA5_0641	686434	687348	+	exodeoxyribonuclease III	L	Q8NSK0	Op395
WA5_RS03350	WA5_RS03350	NC_020519.1	WA5_0642	687350	688009	+	trimeric intracellular cation channel family protein	S	R0JSL6	Op395
WA5_RS03355	WA5_RS03355	NC_020519.1	WA5_0643	688146	688337	+	hypothetical protein	-	A0A0F6Z4K2	Op396
WA5_RS03360	WA5_RS03360	NC_020519.1	WA5_0644	688912	689889	-	ABC transporter substrate-binding protein	P	Q8NSJ7	Op397
WA5_RS03365	WA5_RS03365	NC_020519.1	WA5_0645	689913	690695	-	ABC transporter ATP-binding protein	H	A0A1B4WIW7	Op397
WA5_RS03370	WA5_RS03370	NC_020519.1	WA5_0646	690702	691721	-	iron ABC transporter permease	P	R0J708	Op397
WA5_RS03375	trpS	NC_020519.1	WA5_0647	691881	692918	+	tryptophan--tRNA ligase	J		Op398
WA5_RS03380	WA5_RS03380	NC_020519.1	WA5_0648	693027	694112	+	YihY/virulence factor BrkB family protein	S	R0HU17	Op399
WA5_RS03385	WA5_RS03385	NC_020519.1	WA5_0649	694171	695076	+	RDD family protein	S	Q8NSJ2	Op400
WA5_RS03390	WA5_RS03390	NC_020519.1	WA5_0650	695073	696383	-	D-alanyl-D-alanine carboxypeptidase	M		Op401
WA5_RS03395	WA5_RS03395	NC_020519.1	WA5_0651	696765	697994	-	hypothetical protein	-	Q8NSJ0	Op402
WA5_RS03400	WA5_RS03400	NC_020519.1	WA5_0652	698061	698921	-	C40 family peptidase	M	A0A1R4G9V1	Op403
WA5_RS03405	WA5_RS03405	NC_020519.1	WA5_0653	698918	699169	-	hypothetical protein	-		Op403
WA5_RS03410	upp	NC_020519.1	WA5_0654	699280	699915	+	uracil phosphoribosyltransferase	F	R0HU80	Op404
WA5_RS03415	WA5_RS03415	NC_020519.1	WA5_0655	700009	700383	+	helix-turn-helix domain-containing protein	K	A0A0S2T2I6	Op405
WA5_RS03420	WA5_RS03420	NC_020519.1	WA5_0656	700380	701972	-	phospho-sugar mutase	G	R0J716	Op406
WA5_RS03425	WA5_RS03425	NC_020519.1	WA5_0657	702080	703264	+	M20 family metallopeptidase	S	Q8NSI5	Op407
WA5_RS03430	WA5_RS03430	NC_020519.1	WA5_0658	703404	704813	+	NAD(P)H-quinone dehydrogenase	C	Q8NSI4	Op408
WA5_RS03435	WA5_RS03435	NC_020519.1	WA5_0659	705210	708632	+	pyruvate carboxylase	C	O54587	Op409
WA5_RS03440	WA5_RS03440	NC_020519.1	WA5_0660	708838	709710	+	thioredoxin	O	Q8NSI3	Op410
WA5_RS03445	WA5_RS03445	NC_020519.1	WA5_0661	709792	710280	+	CAP domain-containing protein	S	Q8NSI2	Op411
WA5_RS03450	WA5_RS03450	NC_020519.1	WA5_0662	710516	711604	-	GTP-binding protein	S	H7C687	Op412
WA5_RS03455	WA5_RS03455	NC_020519.1	WA5_0663	711723	712649	+	NAD(P)/FAD-dependent oxidoreductase	C	H7C660	Op413
WA5_RS03460	WA5_RS03460	NC_020519.1	WA5_0664	712737	714233	+	MmgE/PrpD family protein	S	Q8NSH9	Op414
WA5_RS03465	prpB	NC_020519.1	WA5_0665	714230	715147	+	methylisocitrate lyase	G	Q8NSH8	Op414
WA5_RS03470	WA5_RS03470	NC_020519.1	WA5_0666	715140	716285	+	bifunctional 2-methylcitrate synthase/citrate synthase	C	Q8NSH7	Op414
WA5_RS03475	WA5_RS03475	NC_020519.1	WA5_0667	716282	716659	-	hypothetical protein	J	Q8NSH6	Op415
WA5_RS03480	WA5_RS03480	NC_020519.1	WA5_0668	716683	718008	-	XRE family transcriptional regulator	K	A0A1Q3DP42	Op415
WA5_RS03485	WA5_RS03485	NC_020519.1	WA5_0669	718170	718352	+	hypothetical protein	X	A0A0F6Z4E3	Op416
WA5_RS03490	WA5_RS03490	NC_020519.1	WA5_0670	718576	720351	-	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha	I	H7C663	Op417
WA5_RS03495	WA5_RS03495	NC_020519.1	WA5_0671	720543	721448	-	sulfurtransferase	P	P71121	Op418
WA5_RS03500	WA5_RS03500	NC_020519.1	WA5_0672	721776	722843	+	Cj0069 family protein	H	Q8NSH3	Op419
WA5_RS03505	WA5_RS03505	NC_020519.1	WA5_0673	722921	723337	-	DUF3151 domain-containing protein	S	A0A1Q3DNS6	Op420
WA5_RS03510	WA5_RS03510	NC_020519.1	WA5_0674	723411	725561	+	acyltransferase	I	Q8NSH1	Op421
WA5_RS03515	WA5_RS03515	NC_020519.1	WA5_0675	725868	726461	-	Maf-like protein	D	Q8NSH0	Op422
WA5_RS03520	WA5_RS03520	NC_020519.1	WA5_0676	726466	726714	-	acyl-CoA carboxylase subunit epsilon	S	Q8NSG9	Op422
WA5_RS03525	WA5_RS03525	NC_020519.1	WA5_0677	726738	728351	-	acyl-CoA carboxylase subunit beta	I	Q8NSG8	Op422
WA5_RS03530	WA5_RS03530	NC_020519.1	WA5_0678	728692	730323	-	acyl-CoA carboxylase subunit beta	I	A0A0U4XNI3	Op422
WA5_RS03535	WA5_RS03535	NC_020519.1	WA5_0679	730435	731301	+	biotin--[acetyl-CoA-carboxylase] ligase	H		Op423
WA5_RS03540	WA5_RS03540	NC_020519.1	WA5_0680	731311	731799	+	hypothetical protein	S	A0A6M4PVY7	Op423
WA5_RS03545	WA5_RS03545	NC_020519.1	WA5_0681	731856	733019	+	5-(carboxyamino)imidazole ribonucleotide synthase	F		Op423
WA5_RS03550	WA5_RS03550	NC_020519.1	WA5_0682	733071	734945	+	potassium transporter Kup	P		Op423
WA5_RS03555	WA5_RS03555	NC_020519.1	WA5_0683	734983	735342	+	hypothetical protein	-	Q8NSG2	Op423
WA5_RS03560	purE	NC_020519.1	WA5_0684	735401	735898	+	5-(carboxyamino)imidazole ribonucleotide mutase	F	R0JEC7	Op423
WA5_RS03565	WA5_RS03565	NC_020519.1	WA5_0685	735898	736353	+	YdcF family protein	S	Q8NSG0	Op423
WA5_RS03570	WA5_RS03570	NC_020519.1	WA5_0686	736412	737206	+	thioesterase family protein	Q	A0A1Q3DN54	Op424
WA5_RS03575	WA5_RS03575	NC_020519.1	WA5_0687	737212	738528	-	LLM class flavin-dependent oxidoreductase	C	A0A1R4G9A1	Op425
WA5_RS03580	WA5_RS03580	NC_020519.1	WA5_0688	738669	740114	-	integrase core domain-containing protein	L		Op426
WA5_RS03585	WA5_RS03585	NC_020519.1	WA5_0689	740224	741015	-	3-oxoacyl-ACP reductase	I	Q8NSF7	Op427
WA5_RS03590	WA5_RS03590	NC_020519.1	WA5_0690	741396	741767	+	hypothetical protein	X	Q8NSF6	Op428
WA5_RS03595	WA5_RS03595	NC_020519.1	WA5_0691	741814	742380	-	dihydrofolate reductase family protein	H	A0A1Q3DNA3	Op429
WA5_RS03600	WA5_RS03600	NC_020519.1	WA5_0692	742408	742830	+	VOC family protein	E	A0A1Q3DNF6	Op430
WA5_RS03605	WA5_RS03605	NC_020519.1	WA5_0693	742827	743051	-	hypothetical protein	-	Q8NSF3	Op431
WA5_RS03610	WA5_RS03610	NC_020519.1	WA5_0694	743063	743899	-	carbohydrate ABC transporter permease	P	A0A1Q3DNU1	Op431
WA5_RS03615	WA5_RS03615	NC_020519.1	WA5_0695	743896	744930	-	sugar ABC transporter permease	P	Q8NSF1	Op431
WA5_RS03620	WA5_RS03620	NC_020519.1	WA5_0696	745042	745497	-	SRPBCC family protein	S		Op432
WA5_RS03625	WA5_RS03625	NC_020519.1	WA5_0697	745618	746892	-	ABC transporter substrate-binding protein	G	Q8NSE9	Op433
WA5_RS03630	WA5_RS03630	NC_020519.1	WA5_0698	747027	748025	-	ATP-binding cassette domain-containing protein	P	Q8NSE8	Op434
WA5_RS03635	WA5_RS03635	NC_020519.1	WA5_0699	748112	748444	+	DUF2127 domain-containing protein	S		Op435
WA5_RS03640	WA5_RS03640	NC_020519.1	WA5_0700	748882	753684	-	DEAD/DEAH box helicase	L	Q8NSE5	Op436
WA5_RS03645	WA5_RS03645	NC_020519.1	WA5_0701	753693	757394	-	hypothetical protein	-	Q8NSE4	Op436
WA5_RS03650	WA5_RS03650	NC_020519.1	WA5_0702	757626	758279	-	TIGR03089 family protein	I		Op437
WA5_RS03655	WA5_RS03655	NC_020519.1	WA5_0703	758360	760795	-	DUF262 domain-containing protein	L	Q8NSE2	Op438
WA5_RS03660	WA5_RS03660	NC_020519.1	WA5_0704	760902	763202	-	ATP-dependent helicase	L		Op439
WA5_RS03665	WA5_RS03665	NC_020519.1	WA5_0705	763233	769535	-	DEAD/DEAH box helicase	L		Op439
WA5_RS03670	WA5_RS03670	NC_020519.1	WA5_0706	769543	774141	-	class I SAM-dependent DNA methyltransferase	V		Op439
WA5_RS03675	WA5_RS03675	NC_020519.1	WA5_0707	774146	777034	-	DEAD/DEAH box helicase	L		Op439
WA5_RS03680	WA5_RS03680	NC_020519.1	WA5_0708	777154	778710	-	LCP family protein	K	Q8NSD6	Op440
WA5_RS03685	WA5_RS03685	NC_020519.1	WA5_0709	779022	779912	+	glycosyltransferase family 2 protein	S		Op441
WA5_RS03690	WA5_RS03690	NC_020519.1	WA5_0710	780085	781173	+	NDP-sugar synthase	J		Op442
WA5_RS03695	WA5_RS03695	NC_020519.1	WA5_0711	781629	781877	+	WhiB family transcriptional regulator	K		Op443
WA5_RS03700	WA5_RS03700	NC_020519.1	WA5_0712	782158	782616	-	metallopeptidase family protein	S	A0A1Q6BXQ3	Op444
WA5_RS03705	WA5_RS03705	NC_020519.1	WA5_0713	782711	783103	+	DUF3499 domain-containing protein	S	A0A0S2T319	Op445
WA5_RS03710	WA5_RS03710	NC_020519.1	WA5_0714	783183	784559	+	phosphomannomutase/phosphoglucomutase	G	A0A0S2T2Z7	Op446
WA5_RS03715	WA5_RS03715	NC_020519.1	WA5_0715	784634	785641	+	hypothetical protein	M	A0A6M4PXA0	Op446
WA5_RS03720	manA	NC_020519.1	WA5_0716	785642	786826	+	mannose-6-phosphate isomerase%2C class I	G	A0A0S2T2V5	Op446
WA5_RS03725	WA5_RS03725	NC_020519.1	WA5_0717	787166	787951	-	hypothetical protein	-		Op447
WA5_RS03730	WA5_RS03730	NC_020519.1	WA5_0718	788195	788548	+	hypothetical protein	-	R0JTX5	Op448
WA5_RS03735	ahcY	NC_020519.1	WA5_0719	788659	790095	+	adenosylhomocysteinase	H	R0JEF2	Op449
WA5_RS03740	WA5_RS03740	NC_020519.1	WA5_0720	790095	790706	+	dTMP kinase	F	R0JQC7	Op449
WA5_RS03745	mtrA	NC_020519.1	WA5_0721	790731	791411	+	two-component system response regulator MtrA	T	A0A1Q6BJJ6	Op449
WA5_RS03750	mtrB	NC_020519.1	WA5_0722	791475	793010	+	two-component system sensor histidine kinase MtrB	T		Op450
WA5_RS03755	lpqB	NC_020519.1	WA5_0723	793007	794713	+	MtrAB system accessory lipoprotein LpqB	S	Q8NSC0	Op450
WA5_RS03760	WA5_RS03760	NC_020519.1	WA5_0724	794809	795303	+	ComF family protein	S		Op450
WA5_RS03765	raiA	NC_020519.1	WA5_0725	795447	796112	+	ribosome-associated translation inhibitor RaiA	J	R0JQD2	Op451
WA5_RS03770	secA	NC_020519.1	WA5_0726	796249	798786	+	preprotein translocase subunit SecA	U	Q8NSB6	Op452
WA5_RS03775	WA5_RS03775	NC_020519.1		798783	799166	-	Rv3235 family protein	-	R0I263	Op453
WA5_RS03780	WA5_RS03780	NC_020519.1	WA5_0727	799283	799693	+	HAD-IA family hydrolase	S	A0A6M4Q2D6	Op454
WA5_RS03785	WA5_RS03785	NC_020519.1	WA5_0728	799696	800202	+	hypothetical protein	-	R0JEG1	Op454
WA5_RS03790	rsgA	NC_020519.1	WA5_0729	800204	801193	-	ribosome small subunit-dependent GTPase A	S	A0A0S2T320	Op455
WA5_RS03795	aroA	NC_020519.1	WA5_0730	801186	802478	-	3-phosphoshikimate 1-carboxyvinyltransferase	E		Op455
WA5_RS03800	WA5_RS03800	NC_020519.1	WA5_0731	802489	803130	+	SOS response-associated peptidase	S	A0A1L6WD81	Op456
WA5_RS03805	WA5_RS03805	NC_020519.1	WA5_0732	803127	804239	-	HNH endonuclease	V	R0JTY8	Op457
WA5_RS03810	WA5_RS03810	NC_020519.1	WA5_0733	804407	805027	+	sigma-70 family RNA polymerase sigma factor	K	R0JEG4	Op458
WA5_RS03815	rsrA	NC_020519.1		805030	805299	+	mycothiol system anti-sigma-R factor	S	R0JQD9	Op458
WA5_RS03820	whcE	NC_020519.1	WA5_0734	805531	805791	-	WhiB family transcriptional regulator WhcE	K	R0I207	Op459
WA5_RS03825	WA5_RS03825	NC_020519.1	WA5_0735	806317	806739	+	hypothetical protein	-	R0I271	Op460
WA5_RS03830	WA5_RS03830	NC_020519.1	WA5_0736	806736	807938	-	hypothetical protein	S	Q8NSA9	Op461
WA5_RS03835	WA5_RS03835	NC_020519.1	WA5_0737	807942	809216	-	DEAD/DEAH box helicase	L	Q8NSA8	Op461
WA5_RS03840	WA5_RS03840	NC_020519.1	WA5_0738	809285	809512	+	DUF3107 domain-containing protein	S	A0A0S2T2S4	Op462
WA5_RS03845	WA5_RS03845	NC_020519.1	WA5_0739	809548	810396	+	DUF3152 domain-containing protein	M		Op462
WA5_RS03850	WA5_RS03850	NC_020519.1	WA5_0740	810404	811165	+	TIGR02569 family protein	S	R0I276	Op462
WA5_RS03855	WA5_RS03855	NC_020519.1	WA5_0741	811169	814219	+	ATP-dependent helicase	L		Op462
WA5_RS03860	WA5_RS03860	NC_020519.1	WA5_0742	814212	817424	+	ATP-dependent helicase	L		Op462
WA5_RS03865	WA5_RS03865	NC_020519.1	WA5_0743	817464	818525	+	potassium channel family protein	P	A0A0S2T2S2	Op462
WA5_RS03870	WA5_RS03870	NC_020519.1	WA5_0744	818522	819238	+	NAD(+) diphosphatase	L	Q8NSA1	Op462
WA5_RS03875	WA5_RS03875	NC_020519.1	WA5_0745	819253	821289	+	ATP-dependent DNA helicase UvrD2	L	Q8NSA0	Op462
WA5_RS03880	WA5_RS03880	NC_020519.1	WA5_0746	821286	822086	-	hypothetical protein	-	A0A0S2T2Y5	Op463
WA5_RS03885	WA5_RS03885	NC_020519.1	WA5_0747	822183	822671	+	M48 family metallopeptidase	S	A0A1C7EZT6	Op464
WA5_RS03890	WA5_RS03890	NC_020519.1	WA5_0748	822676	824103	-	zinc-dependent metalloprotease	S	R0JQF1	Op465
WA5_RS03895	WA5_RS03895	NC_020519.1	WA5_0749	824189	825241	+	PDZ domain-containing protein	T	Q8NS96	Op466
WA5_RS16445	WA5_RS16445	NC_020519.1		825238	825915	-	hypothetical protein	-		Op467
WA5_RS03905	WA5_RS03905	NC_020519.1	WA5_0751	825992	826516	-	PPA1309 family protein	-	R0JEI1	Op468
WA5_RS03910	WA5_RS03910	NC_020519.1	WA5_0752	826615	829572	+	UPF0182 family protein	S	Q8NS93	Op469
WA5_RS03915	pdxR	NC_020519.1	WA5_0753	829623	830984	-	pyridoxine biosynthesis transcriptional regulator PdxR	K	Q8NS92	Op470
WA5_RS03920	pdxS	NC_020519.1	WA5_0754	831074	831973	+	pyridoxal 5'-phosphate synthase lyase subunit PdxS	H	R0I286	Op471
WA5_RS03925	pdxT	NC_020519.1	WA5_0755	831970	832572	+	pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	H	Q8NS90	Op471
WA5_RS03935	WA5_RS03935	NC_020519.1	WA5_0756	832791	833156	-	SdpI family protein	S	Q8NS89	Op472
WA5_RS03940	WA5_RS03940	NC_020519.1	WA5_0757	833637	834635	+	S1 family peptidase	O		Op473
WA5_RS03945	WA5_RS03945	NC_020519.1	WA5_0758	834926	835390	+	hypothetical protein	-		Op474
WA5_RS03950	WA5_RS03950	NC_020519.1	WA5_0759	835384	835839	+	hypothetical protein	-		Op475
WA5_RS16120	WA5_RS16120	NC_020519.1		836089	836250	+	hypothetical protein	X		Op476
WA5_RS03955	WA5_RS03955	NC_020519.1	WA5_0760	837311	838894	+	LGFP repeat-containing protein	M	Q8NS85	Op477
WA5_RS03960	WA5_RS03960	NC_020519.1	WA5_0761	838924	839355	+	hypothetical protein	X	R0I289	Op477
WA5_RS03970	WA5_RS03970	NC_020519.1	WA5_0763	839629	840141	+	hypothetical protein	X	A0A7I8ASC3	Op478
WA5_RS16380	WA5_RS16380	NC_020519.1	WA5_0764	840433	840708	-	hypothetical protein	X		Op479
WA5_RS03990	hisN	NC_020519.1	WA5_0765	841513	842295	-	histidinol-phosphatase	G	A0A1R4G8H9	Op480
WA5_RS03995	WA5_RS03995	NC_020519.1	WA5_0766	842302	843177	-	inositol monophosphatase family protein	G	A0A0U4XRL9	Op480
WA5_RS04000	prfB	NC_020519.1	WA5_0767	843256	844362	+	peptide chain release factor 2	J		Op481
WA5_RS04005	ftsE	NC_020519.1	WA5_0768	844494	845183	+	cell division ATP-binding protein FtsE	D	R0JEJ3	Op482
WA5_RS04010	ftsX	NC_020519.1	WA5_0769	845197	846099	+	permease-like cell division protein FtsX	D	R0JQG6	Op482
WA5_RS04015	smpB	NC_020519.1	WA5_0770	846136	846630	+	SsrA-binding protein SmpB	O	R0I237	Op482
WA5_RS04020	WA5_RS04020	NC_020519.1	WA5_0771	846631	846984	+	DUF488 domain-containing protein	S	Q8NS74	Op482
WA5_RS15640	WA5_RS15640	NC_020519.1		847726	848025	+	transposase	L		Op483
WA5_RS04035	WA5_RS04035	NC_020519.1	WA5_0773	848495	849322	-	siderophore-interacting protein	P	Q8NS72	Op484
WA5_RS04040	WA5_RS04040	NC_020519.1	WA5_0774	849322	850242	-	iron-siderophore ABC transporter substrate-binding protein	P	Q8NS71	Op484
WA5_RS04045	WA5_RS04045	NC_020519.1	WA5_0775	850408	850998	-	vitamin K epoxide reductase family protein	S	Q8NS70	Op485
WA5_RS04050	WA5_RS04050	NC_020519.1	WA5_0776	851350	852366	+	ABC transporter substrate-binding protein	P	Q8NS69	Op486
WA5_RS04055	WA5_RS04055	NC_020519.1	WA5_0777	852617	853618	+	ABC transporter permease	P	A0A516RWU0	Op487
WA5_RS04060	WA5_RS04060	NC_020519.1	WA5_0778	853611	854726	+	iron chelate uptake ABC transporter family permease subunit	P	A0A0F6Z7M4	Op487
WA5_RS04065	WA5_RS04065	NC_020519.1	WA5_0779	854723	855478	+	ABC transporter ATP-binding protein	P		Op487
WA5_RS04085	WA5_RS04085	NC_020519.1	WA5_0780	861591	862754	+	pyridoxal phosphate-dependent aminotransferase	E	Q842J5	Op488
WA5_RS04090	WA5_RS04090	NC_020519.1	WA5_0781	862749	863390	-	DUF3239 domain-containing protein	S	Q8NS64	Op489
WA5_RS04095	WA5_RS04095	NC_020519.1	WA5_0782	863392	865065	-	DEAD/DEAH box helicase	L	A0A0U4XM02	Op489
WA5_RS04100	WA5_RS04100	NC_020519.1	WA5_0783	865115	867316	-	helicase-associated domain-containing protein	K	Q8NS62	Op490
WA5_RS04105	WA5_RS04105	NC_020519.1	WA5_0784	867382	867573	+	hypothetical protein	-	R0HSZ5	Op491
WA5_RS04110	WA5_RS04110	NC_020519.1	WA5_0785	867799	868380	-	DUF3235 domain-containing protein	S	Q6M6W5	Op492
WA5_RS04115	WA5_RS04115	NC_020519.1	WA5_0786	868937	869320	+	cold-shock protein	K	R0J5Z7	Op493
WA5_RS04120	WA5_RS04120	NC_020519.1	WA5_0787	869375	869902	-	DUF2771 domain-containing protein	S	R0JGR2	Op494
WA5_RS04125	WA5_RS04125	NC_020519.1	WA5_0788	869914	870741	-	glutaminyl-peptide cyclotransferase	M		Op494
WA5_RS04130	WA5_RS04130	NC_020519.1	WA5_0789	870717	871397	-	aminotransferase class IV	E		Op495
WA5_RS04135	WA5_RS04135	NC_020519.1	WA5_0790	871752	873212	+	NCS2 family permease	S		Op496
WA5_RS04140	WA5_RS04140	NC_020519.1	WA5_0791	873212	874042	+	RNA methyltransferase	J	A0A0U4WSV2	Op496
WA5_RS04145	WA5_RS04145	NC_020519.1	WA5_0792	874065	874937	-	hypothetical protein	-	R0JGR7	Op497
WA5_RS04150	WA5_RS04150	NC_020519.1	WA5_0793	874947	875882	-	septation protein SepH	S	A0A1L6WEL0	Op497
WA5_RS04155	serC	NC_020519.1	WA5_0794	875981	877111	-	phosphoserine transaminase	E	H7C680	Op498
WA5_RS04160	WA5_RS04160	NC_020519.1	WA5_0795	877837	879150	+	citrate synthase	C		Op499
WA5_RS04165	fkpA	NC_020519.1	WA5_0796	879275	879631	+	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA	O	R0J606	Op500
WA5_RS04170	WA5_RS04170	NC_020519.1	WA5_0797	879638	881092	-	acetyl-CoA carboxylase carboxyl transferase subunit alpha/beta	I		Op501
WA5_RS04175	WA5_RS04175	NC_020519.1	WA5_0798	881706	881987	+	DUF485 domain-containing protein	S		Op502
WA5_RS04180	WA5_RS04180	NC_020519.1	WA5_0799	881994	883649	+	cation acetate symporter	S	Q8NS49	Op502
WA5_RS04185	WA5_RS04185	NC_020519.1	WA5_0800	883767	884543	+	hypothetical protein	M		Op503
WA5_RS04190	WA5_RS04190	NC_020519.1	WA5_0801	884545	885387	-	DUF1906 domain-containing protein	M	Q8NS47	Op504
WA5_RS04195	WA5_RS04195	NC_020519.1	WA5_0802	885671	894580	+	type I polyketide synthase	I		Op505
WA5_RS04200	WA5_RS04200	NC_020519.1	WA5_0803	894702	895193	+	septum formation family protein	-	Q8NS45	Op506
WA5_RS04210	WA5_RS04210	NC_020519.1	WA5_0805	895592	896641	-	alpha/beta fold hydrolase	E	A0A0S2T309	Op507
WA5_RS04215	WA5_RS04215	NC_020519.1	WA5_0806	896715	897143	-	hypothetical protein	-	A0A6M4PVL0	Op508
WA5_RS04225	WA5_RS04225	NC_020519.1	WA5_0807	897422	897691	+	hypothetical protein	-	A0A6M4PX67	Op509
WA5_RS04230	WA5_RS04230	NC_020519.1	WA5_0808	897723	897962	-	mycoredoxin	O	P0DKT0	Op510
WA5_RS04235	WA5_RS04235	NC_020519.1	WA5_0809	897975	898433	-	dihydrofolate reductase	H	A0A0U4WSW7	Op510
WA5_RS04240	WA5_RS04240	NC_020519.1	WA5_0810	898430	899230	-	thymidylate synthase	F	A0A0U4XNU6	Op510
WA5_RS04245	WA5_RS04245	NC_020519.1	WA5_0811	899249	900007	-	3'(2')%2C5'-bisphosphate nucleotidase CysQ	P	A0A0S2T3C6	Op510
WA5_RS04250	WA5_RS04250	NC_020519.1	WA5_0812	900042	904604	+	ATP-dependent helicase	L		Op511
WA5_RS04255	WA5_RS04255	NC_020519.1	WA5_0813	904614	905384	+	Fpg/Nei family DNA glycosylase	L	A0A1B4WJF1	Op511
WA5_RS04260	WA5_RS04260	NC_020519.1	WA5_0814	905388	905798	+	YccF domain-containing protein	S	R0JKG9	Op511
WA5_RS04265	WA5_RS04265	NC_020519.1	WA5_0815	905788	906390	-	DedA family protein	S	Q8NS33	Op512
WA5_RS16260	WA5_RS16260	NC_020519.1		906387	906545	-	hypothetical protein	X		Op512
WA5_RS04270	WA5_RS04270	NC_020519.1	WA5_0816	906555	907730	-	CynX/NimT family MFS transporter	P	Q8NS32	Op512
WA5_RS04275	pgi	NC_020519.1	WA5_0817	907755	909377	-	glucose-6-phosphate isomerase	G	Q8NS31	Op512
WA5_RS04280	WA5_RS04280	NC_020519.1	WA5_0818	909517	910689	-	HNH endonuclease	V		Op513
WA5_RS04285	WA5_RS04285	NC_020519.1	WA5_0819	910851	911156	-	chorismate mutase	E	R0JKH5	Op514
