## Mon Oct 24 05:02:52 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_2ldfeeem/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WA5_RS02670	196627.cg0617	6.63e-70	211.0	2DR18@1|root,339RQ@2|Bacteria,2I5A0@201174|Actinobacteria,22P7E@1653|Corynebacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS02675	196627.cg0618	0.0	1546.0	COG0243@1|root,COG0243@2|Bacteria,2GJWZ@201174|Actinobacteria,22R8D@1653|Corynebacteriaceae	201174|Actinobacteria	C	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	fdhF	-	-	-	-	-	-	-	-	-	-	-	Molybdopterin,Molydop_binding
WA5_RS02680	196627.cg0620	1.15e-140	398.0	29WRF@1|root,30ICH@2|Bacteria,2HNJY@201174|Actinobacteria,22NNA@1653|Corynebacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS02685	196627.cg0621	5.39e-182	507.0	COG1122@1|root,COG1122@2|Bacteria,2GMK1@201174|Actinobacteria,22MU1@1653|Corynebacteriaceae	201174|Actinobacteria	P	ECF transporter, substrate-specific component	-	-	-	ko:K16927	-	M00582	-	-	ko00000,ko00002,ko02000	3.A.1.32	-	-	ECF_trnsprt
WA5_RS02690	196627.cg0622	0.0	1108.0	COG1122@1|root,COG1122@2|Bacteria,2GJ0M@201174|Actinobacteria,22RI1@1653|Corynebacteriaceae	201174|Actinobacteria	P	ABC transporter	-	-	-	ko:K16785,ko:K16786,ko:K16787	ko02010,map02010	M00582	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.25,3.A.1.28,3.A.1.29,3.A.1.30,3.A.1.31,3.A.1.32,3.A.1.33,3.A.1.35	-	-	ABC_tran,ECF_trnsprt
WA5_RS02695	196627.cg0623	1.75e-264	725.0	COG0619@1|root,COG0619@2|Bacteria,2GKHK@201174|Actinobacteria,22MFZ@1653|Corynebacteriaceae	201174|Actinobacteria	P	Cobalt transport protein	ecfT	-	-	ko:K16785	ko02010,map02010	M00582	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.25,3.A.1.28,3.A.1.29,3.A.1.30,3.A.1.31,3.A.1.32,3.A.1.33,3.A.1.35	-	-	CbiQ
WA5_RS02700	196627.cg0624	1.24e-257	706.0	COG1657@1|root,COG1657@2|Bacteria,2I12M@201174|Actinobacteria,22N8G@1653|Corynebacteriaceae	201174|Actinobacteria	I	PFAM Prenyltransferase squalene oxidase	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS02705	196627.cg0625	3.2e-251	693.0	29WRG@1|root,30ICI@2|Bacteria,2HNCB@201174|Actinobacteria,22N2W@1653|Corynebacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS02710	196627.cg0627	1.46e-128	364.0	COG3981@1|root,COG3981@2|Bacteria,2IGK9@201174|Actinobacteria,22NRA@1653|Corynebacteriaceae	201174|Actinobacteria	S	Acetyltransferase (GNAT) domain	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_3
WA5_RS02715	196627.cg0628	7.64e-88	258.0	COG0096@1|root,COG0096@2|Bacteria,2IHQZ@201174|Actinobacteria,22MWH@1653|Corynebacteriaceae	201174|Actinobacteria	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit	rpsH	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015935,GO:0022626,GO:0022627,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02994	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S8
WA5_RS02720	196627.cg0629	3.54e-122	348.0	COG0097@1|root,COG0097@2|Bacteria,2GK35@201174|Actinobacteria,22KFS@1653|Corynebacteriaceae	201174|Actinobacteria	J	This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center	rplF	GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02933	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L6
WA5_RS02725	196627.cg0630	2.44e-85	252.0	COG0256@1|root,COG0256@2|Bacteria,2IKTX@201174|Actinobacteria,22N5D@1653|Corynebacteriaceae	201174|Actinobacteria	J	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance	rplR	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008097,GO:0008150,GO:0015934,GO:0019843,GO:0022625,GO:0022626,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0097159,GO:1901363,GO:1990904	-	ko:K02881	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L18p
WA5_RS02730	196627.cg0631	7.44e-122	350.0	COG0098@1|root,COG0098@2|Bacteria,2GJW8@201174|Actinobacteria,22JW0@1653|Corynebacteriaceae	201174|Actinobacteria	J	Located at the back of the 30S subunit body where it stabilizes the conformation of the head with respect to the body	rpsE	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02988	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S5,Ribosomal_S5_C
WA5_RS02735	196627.cg0632	1.1e-34	118.0	COG1841@1|root,COG1841@2|Bacteria,2GQV0@201174|Actinobacteria,22P8I@1653|Corynebacteriaceae	201174|Actinobacteria	J	Ribosomal protein L30	rpmD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0008150,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904	-	ko:K02907	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L30
WA5_RS02740	196627.cg0634	2.97e-95	278.0	COG0200@1|root,COG0200@2|Bacteria,2II6M@201174|Actinobacteria,22MWT@1653|Corynebacteriaceae	201174|Actinobacteria	J	binds to the 23S rRNA	rplO	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0015934,GO:0016020,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904	-	ko:K02876	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L27A
WA5_RS02745	196627.cg0635	5.53e-55	172.0	COG1012@1|root,COG1012@2|Bacteria,2HET6@201174|Actinobacteria,22KXN@1653|Corynebacteriaceae	201174|Actinobacteria	C	NAD-dependent aldehyde dehydrogenases	-	-	1.2.1.18,1.2.1.27	ko:K00140,ko:K22187	ko00040,ko00280,ko00410,ko00562,ko00640,ko01100,ko01200,map00040,map00280,map00410,map00562,map00640,map01100,map01200	M00013	R00705,R00706,R00922,R00935,R11768	RC00004,RC00080,RC02723,RC02817	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
WA5_RS02755	196627.cg0637	0.0	963.0	COG1012@1|root,COG1012@2|Bacteria,2GIWZ@201174|Actinobacteria,22M5N@1653|Corynebacteriaceae	201174|Actinobacteria	C	Belongs to the aldehyde dehydrogenase family	-	-	1.2.1.3,1.2.1.8	ko:K00128,ko:K00130	ko00010,ko00053,ko00071,ko00260,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00260,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130	M00135,M00555	R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02565,R02566,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146	RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
WA5_RS02760	196627.cg0638	3.05e-181	503.0	COG1418@1|root,COG1418@2|Bacteria,2IMKD@201174|Actinobacteria,22MPC@1653|Corynebacteriaceae	201174|Actinobacteria	S	HD domain	-	-	-	-	-	-	-	-	-	-	-	-	HD
WA5_RS02765	196627.cg0639	7.23e-301	821.0	COG0446@1|root,COG0446@2|Bacteria,2GJKT@201174|Actinobacteria,22KGT@1653|Corynebacteriaceae	201174|Actinobacteria	S	Reductase C-terminal	-	-	1.18.1.3	ko:K00529	ko00071,ko00360,ko01120,ko01220,map00071,map00360,map01120,map01220	M00545	R02000,R06782,R06783	RC00098	br01602,ko00000,ko00001,ko00002,ko01000	-	-	-	Pyr_redox_2,Reductase_C
WA5_RS02770	196627.cg0640	4.03e-73	219.0	COG0633@1|root,COG0633@2|Bacteria,2GRQF@201174|Actinobacteria,22NQU@1653|Corynebacteriaceae	201174|Actinobacteria	C	2Fe-2S iron-sulfur cluster binding domain	-	-	-	ko:K04755	-	-	-	-	ko00000	-	-	-	Fer2
WA5_RS02775	196627.cg0641	8.6e-169	472.0	COG1028@1|root,COG1028@2|Bacteria,2GKZK@201174|Actinobacteria,22R8E@1653|Corynebacteriaceae	201174|Actinobacteria	IQ	KR domain	-	-	-	-	-	-	-	-	-	-	-	-	adh_short_C2
WA5_RS02780	196627.cg0642	0.0	1318.0	COG1080@1|root,COG1080@2|Bacteria,2IA7T@201174|Actinobacteria,22MQN@1653|Corynebacteriaceae	201174|Actinobacteria	G	PEP-utilising enzyme, mobile domain	-	-	2.7.9.2	ko:K01007	ko00620,ko00680,ko00720,ko01100,ko01120,ko01200,map00620,map00680,map00720,map01100,map01120,map01200	M00173,M00374	R00199	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000	-	-	-	PEP-utilizers
WA5_RS02785	196627.cg0644	6.41e-261	715.0	COG0574@1|root,COG0574@2|Bacteria,2GMN4@201174|Actinobacteria,22KKN@1653|Corynebacteriaceae	201174|Actinobacteria	G	Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate	ppsA	-	2.7.9.2	ko:K01007	ko00620,ko00680,ko00720,ko01100,ko01120,ko01200,map00620,map00680,map00720,map01100,map01120,map01200	M00173,M00374	R00199	RC00002,RC00015	ko00000,ko00001,ko00002,ko01000	-	-	-	PEP-utilizers,PEP-utilizers_C,PPDK_N
WA5_RS02790	196627.cg0645	0.0	866.0	COG2124@1|root,COG2124@2|Bacteria,2GJ8V@201174|Actinobacteria,22KMT@1653|Corynebacteriaceae	201174|Actinobacteria	C	cytochrome P450	-	-	-	-	-	-	-	-	-	-	-	-	p450
WA5_RS02795	196627.cg0646	7.44e-189	525.0	COG1414@1|root,COG1414@2|Bacteria,2I9CD@201174|Actinobacteria,22NBE@1653|Corynebacteriaceae	201174|Actinobacteria	K	Bacterial transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_IclR,IclR
WA5_RS02800	196627.cg0647	1.4e-298	816.0	COG0201@1|root,COG0201@2|Bacteria,2GJ26@201174|Actinobacteria,22JU3@1653|Corynebacteriaceae	201174|Actinobacteria	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently	secY	GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944	-	ko:K03076	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5	-	-	SecY
WA5_RS02805	196627.cg0648	1.89e-123	352.0	COG0563@1|root,COG0563@2|Bacteria,2GJ7T@201174|Actinobacteria,22JI7@1653|Corynebacteriaceae	201174|Actinobacteria	F	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism	adk	GO:0000166,GO:0003674,GO:0003824,GO:0004017,GO:0004550,GO:0005488,GO:0005524,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006144,GO:0006163,GO:0006164,GO:0006165,GO:0006167,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009141,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0017076,GO:0017144,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0030554,GO:0032261,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043094,GO:0043101,GO:0043167,GO:0043168,GO:0043173,GO:0044209,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046033,GO:0046390,GO:0046483,GO:0046939,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	2.7.4.3	ko:K00939	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130	M00049	R00127,R01547,R11319	RC00002	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	ADK
WA5_RS02810	196627.cg0649	1.9e-189	526.0	COG0024@1|root,COG0024@2|Bacteria,2GKKB@201174|Actinobacteria,22JKA@1653|Corynebacteriaceae	201174|Actinobacteria	E	Methionine aminopeptidase	mapA	GO:0000096,GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005506,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006464,GO:0006508,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0009066,GO:0009987,GO:0010467,GO:0016020,GO:0016151,GO:0016485,GO:0016787,GO:0019538,GO:0019752,GO:0030145,GO:0035551,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0044464,GO:0046872,GO:0046914,GO:0050897,GO:0051604,GO:0070006,GO:0070011,GO:0070084,GO:0071704,GO:0071944,GO:0140096,GO:1901564,GO:1901605	3.4.11.18	ko:K01265	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M24
WA5_RS02815	196627.cg0650	3.19e-160	451.0	COG1376@1|root,COG1376@2|Bacteria,2HB4R@201174|Actinobacteria,22M2X@1653|Corynebacteriaceae	201174|Actinobacteria	S	protein conserved in bacteria	-	-	-	-	-	-	-	-	-	-	-	-	PG_binding_1,YkuD
WA5_RS02820	1121353.H924_02595	1.02e-46	149.0	COG0361@1|root,COG0361@2|Bacteria,2IQ4B@201174|Actinobacteria,22NUQ@1653|Corynebacteriaceae	201174|Actinobacteria	J	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex	infA	GO:0003674,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0043021,GO:0043022,GO:0044424,GO:0044444,GO:0044464,GO:0044877,GO:0071944	-	ko:K02518	-	-	-	-	ko00000,ko03012	-	-	-	eIF-1a
WA5_RS02825	196627.cg0652	2.65e-81	241.0	COG0099@1|root,COG0099@2|Bacteria,2IHPN@201174|Actinobacteria,22N60@1653|Corynebacteriaceae	201174|Actinobacteria	J	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits	rpsM	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0022613,GO:0032991,GO:0034641,GO:0034645,GO:0042254,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0071840,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02952	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S13
WA5_RS02830	196627.cg0653	5.34e-89	261.0	COG0100@1|root,COG0100@2|Bacteria,2IFFC@201174|Actinobacteria,22MXC@1653|Corynebacteriaceae	201174|Actinobacteria	J	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome	rpsK	GO:0000028,GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006139,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0016043,GO:0016070,GO:0016072,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030490,GO:0032991,GO:0034470,GO:0034622,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0046483,GO:0048027,GO:0065003,GO:0070181,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02948	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S11
WA5_RS02835	196627.cg0654	2.95e-139	394.0	COG0522@1|root,COG0522@2|Bacteria,2GIRX@201174|Actinobacteria,22K7P@1653|Corynebacteriaceae	201174|Actinobacteria	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	rpsD	GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006417,GO:0006450,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0015935,GO:0016020,GO:0019222,GO:0019843,GO:0030312,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0032991,GO:0034248,GO:0034250,GO:0040007,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0045727,GO:0045903,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0060255,GO:0065007,GO:0065008,GO:0071944,GO:0080090,GO:0097159,GO:1901363,GO:1990904,GO:2000112	-	ko:K02986	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S4,S4
WA5_RS02840	196627.cg0655	2.41e-236	650.0	COG0202@1|root,COG0202@2|Bacteria,2GJJ5@201174|Actinobacteria,22JJR@1653|Corynebacteriaceae	201174|Actinobacteria	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	rpoA	GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006351,GO:0006354,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0030312,GO:0032774,GO:0034062,GO:0034641,GO:0034645,GO:0034654,GO:0040007,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097659,GO:0097747,GO:0140098,GO:1901360,GO:1901362,GO:1901576	2.7.7.6	ko:K03040	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020	M00183	R00435,R00441,R00442,R00443	RC02795	br01611,ko00000,ko00001,ko00002,ko01000,ko03021,ko03400	-	-	-	RNA_pol_A_CTD,RNA_pol_A_bac,RNA_pol_L
WA5_RS02845	196627.cg0656	3.31e-97	284.0	COG0203@1|root,COG0203@2|Bacteria,2IHV2@201174|Actinobacteria,22MXY@1653|Corynebacteriaceae	201174|Actinobacteria	J	Ribosomal protein L17	rplQ	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0015934,GO:0016020,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071944,GO:1990904	-	ko:K02879	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L17
WA5_RS02850	196627.cg0657	3.35e-214	591.0	COG0101@1|root,COG0101@2|Bacteria,2GJ6C@201174|Actinobacteria,22KM0@1653|Corynebacteriaceae	201174|Actinobacteria	J	Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs	truA	GO:0001522,GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016853,GO:0016866,GO:0030312,GO:0031119,GO:0034470,GO:0034641,GO:0034660,GO:0040007,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360	5.4.99.12	ko:K06173	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	PseudoU_synth_1
WA5_RS02855	196627.cg0658	0.0	1449.0	COG5617@1|root,COG5617@2|Bacteria,2HKW0@201174|Actinobacteria,22K3N@1653|Corynebacteriaceae	201174|Actinobacteria	S	Psort location CytoplasmicMembrane, score	-	-	-	-	-	-	-	-	-	-	-	-	-
WA5_RS02860	196627.cg0659	8.79e-108	310.0	COG0454@1|root,COG0456@2|Bacteria	2|Bacteria	K	acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1,Acetyltransf_10,Acetyltransf_6,Acetyltransf_7,Acetyltransf_9
WA5_RS02865	196627.cg0660	6.11e-68	205.0	COG0454@1|root,COG0456@2|Bacteria	2|Bacteria	K	acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1
